1,Hwy 401 & Weston (Crossroads),Toronto-North York,957096,236625,382200,POINT (-79.531037 43.712679)
2,St. Clair & Bathurst,Toronto-Central,43043,1125,6000,POINT (-79.415366 43.683997)
3,Dundas & Dovercourt,Toronto-Central,146885,42000,134550,POINT (-79.42351 43.649585)
4,Danforth & Broadview,Toronto-Central,366830,390000,658400,POINT (-79.356106 43.67688)
5,Queen & Coxwell (The Beach),Toronto-Central,423824,185100,213400,POINT (-79.314978 43.666877)
6,Queen & Lansdowne,Toronto-Central,290807,7500,82250,POINT (-79.43239 43.642136)
7,Eglinton & Dunfield,Toronto-Central,28191,65250,22750,POINT (-79.3948 43.707374)
8,St. Clair & Oakwood,Toronto-Central,183298,6750,29250,POINT (-79.433905 43.680158)
9,Bloor & Ossington,Toronto-Central,115553,NULL,50250,POINT (-79.425133 43.661944)
10,Yonge & Summerhill,Toronto-Central,810753,602050,446050,POINT (-79.390516 43.68089)
11,Gerrard & Pape,Toronto-Central,41398,3000,NULL,POINT (-79.341101 43.66818)
12,Parliament & Wellesly (Cabbagetown),Toronto-Central,34538,NULL,31500,POINT (-79.368661 43.665544)
13,Danforth & Greenwood,Toronto-Central,66960,NULL,27750,POINT (-79.333301 43.681034)
14,Spadina & Dundas,Toronto-Central,146426,6000,80550,POINT (-79.398469 43.654843)
15,Dupont & Spadina,Toronto-Central,296449,207375,166150,POINT (-79.405677 43.675325)
16,Yonge & Empress (Empress Walk),Toronto-North York,25548,2250,42600,POINT (-79.412504 43.768838)
17,Front & Sherbourne,Toronto-Central,192197,114750,93500,POINT (-79.364894 43.651216)
18,King & Dufferin (Liberty Village),Toronto-Central,285971,165750,159350,POINT (-79.419912 43.639925)
19,St. Clair & Keele (The Stockyards),Toronto-Central,256354,302625,454450,POINT (-79.472894 43.670479)
20,Lake Shore & Islington,Toronto-Etobicoke,176419,NULL,21750,POINT (-79.499292 43.602313)
21,Golf Links & Hwy 403 (Meadowlands),Ancaster,436587,22425,98500,POINT (-79.95496 43.226231)
22,Big Bay Point Rd & Yonge,Barrie,324381,70875,125250,POINT (-79.650842 44.356011)
23,Barton & Kenilworth (Centre Mall),Hamilton,487270,19125,104650,POINT (-79.81333 43.251816)
24,Clarence & Elm St,Port Colborne,83116,450,6750,POINT (-79.255131 42.885961)
25,Osler & Main W,Dundas,402429,114000,44150,POINT (-79.941243 43.257921)
26,York & Ridout,London,257336,3950,67050,POINT (-81.25184 42.98019)
27,Oxford St E & Gammage St,London,562634,9750,90750,POINT (-81.227089 43.003516)
28,Broad & Maple St,Dunnville,91674,14250,30750,POINT (-79.615577 42.90325)
30,Victoria & Durham St,Walkerton,NULL,15000,NULL,POINT (-81.147181 44.133793)
31,First & Pine,Collingwood,533759,30750,153600,POINT (-80.218285 44.502973)
32,University & Church,Windsor,98209,NULL,27000,POINT (-83.043376 42.316644)
33,Mcleod & Qew,Niagara Falls,153033,21775,123800,POINT (-79.121101 43.065997)
34,Walker & Ottawa,Windsor,213235,19500,21750,POINT (-83.001219 42.313571)
35,Lansdowne W & Parkway,Peterborough,314539,82350,58150,POINT (-78.339503 44.28233)
36,Hazeldean & Castlefrank (Market Square),Ottawa-Kanata,262804,24000,87100,POINT (-75.887426 45.300179)
38,Rideau & King Edward,Ottawa,450421,455625,358350,POINT (-75.68631 45.428756)
39,3rd & Albert St,Cobourg,122034,NULL,7500,POINT (-78.167699 43.958475)
40,Barrack & King,Kingston,192517,94875,37100,POINT (-76.480741 44.232974)
41,Industrial & St. Laurent (Trainyards),Ottawa,185191,15750,49800,POINT (-75.639729 45.410776)
42,King & John St,Brockville,NULL,NULL,4500,POINT (-75.6878 44.5876)
43,King St W & Victoria St,Kitchener,129626,30200,6300,POINT (-80.495458 43.452188)
44,Market S & Icomm,Brantford,108805,15000,41500,POINT (-80.261709 43.135525)
45,Sherbrooke & George,Peterborough,107679,6000,38150,POINT (-78.321327 44.30101)
46,Christina & George St,Sarnia,NULL,450,15750,POINT (-82.405685 42.97539)
47,King & Academy,St. Catharines,136798,16500,34250,POINT (-79.243622 43.161598)
48,Victoria & Valley Way,Niagara Falls,61737,7025,NULL,POINT (-79.073049 43.106212)
49,Second St & Glengarry Blvd,Cornwall,175154,NULL,46000,POINT (-74.704968 45.025045)
50,Elm & Paris St,Sudbury,61264,NULL,18250,POINT (-80.990836 46.492618)
51,Wellington & Gordon,Guelph,156319,3750,16550,POINT (-80.248151 43.546098)
52,Ontario & Southworth (Rose City Plaza),Welland,8041,24000,4250,POINT (-79.239729 42.97614)
53,Queen & King,Cookstown,61963,9000,11650,POINT (-79.708881 44.188993)
54,Worthington & Fraser St,North Bay,140331,NULL,69500,POINT (-79.462896 46.312902)
55,Pembroke St E & Angus Campbell Dr,Pembroke,146193,18000,8750,POINT (-77.081439 45.820838)
56,Hwy 401 & 2,Prescott,8987,NULL,NULL,POINT (-75.516434 44.70781)
57,Bell & N Front (Near Quinte Mall),Belleville,172424,58125,37500,POINT (-77.404896 44.187202)
58,Algonquin,Timmins,324005,45000,40500,POINT (-81.337054 48.477872)
59,Mary & Dunlop,Barrie,2838,NULL,8050,POINT (-79.692366 44.38894)
60,Wellington & St. Patrick,Stratford,186334,78750,25350,POINT (-80.983308 43.368968)
61,Wellington & Raleigh,Chatham,61737,9000,17750,POINT (-82.188145 42.403857)
62,First & Talbot St,St. Thomas,75927,18000,41500,POINT (-81.17698 42.778006)
63,Bay & Bruce (Station Mall),Sault Ste. Marie,103608,15750,34300,POINT (-84.338068 46.512082)
64,Dundas & Springbank,Woodstock,356162,69125,30750,POINT (-80.732119 43.13448)
65,Front & Division,Trenton,723958,64875,20250,POINT (-77.57917 44.103306)
67,Lakeshore & Broadway,Haileybury,9460,14250,NULL,POINT (-79.631899 47.449651)
68,Park & Railway St,Kenora,20339,NULL,9750,POINT (-94.482424 49.767685)
69,Third & Mowat St,Fort Frances,47434,3375,4900,POINT (-93.398536 48.612916)
70,Lombard St & Ferrara Dr,Smiths Falls,149468,4500,1500,POINT (-76.029731 44.890612)
71,King & Charles St,Gananoque,34529,375,NULL,POINT (-76.160782 44.330528)
72,Dufferin & Wilson,Perth,148049,5250,NULL,POINT (-76.265024 44.907607)
73,King & Dolph,Cambridge-Preston,34776,15000,15750,POINT (-80.352231 43.392911)
74,Queensway & Ireland,Simcoe,147112,27000,71900,POINT (-80.288299 42.848298)
76,Grandview Ave & Silver St,Cobalt,21300,NULL,NULL,POINT (-79.68601 47.395688)
77,Poyntz St & Penetang Rd,Penetang,97950,NULL,18750,POINT (-79.932434 44.765962)
78,Armstrong & Cedar,New Liskeard,14910,28500,18750,POINT (-79.671108 47.506908)
79,Walton St & Peter St,Port Hope,23177,NULL,3750,POINT (-78.293811 43.95208)
80,Sequin & Miller,Parry Sound,160853,66000,98250,POINT (-80.03281 45.343693)
81,Front & Holditch,Sturgeon Falls,177300,NULL,6750,POINT (-79.930471 46.366258)
82,Kent & Hwy 35,Lindsay,319415,48000,31950,POINT (-78.766523 44.348417)
83,Hwy 17 & Tupper St,Hawkesbury,442749,177250,214750,POINT (-74.592488 45.590747)
84,Hwy 62/33 & County Rd 10,Picton,112819,55500,57750,POINT (-77.151122 44.003336)
85,Hwy 417 & Daniel St,Arnprior,407499,30450,73000,POINT (-76.36798 45.421812)
86,King St & Kirkpatrick,Dryden,107271,NULL,22500,POINT (-92.834381 49.784309)
87,Front St & Fourth Ave,Sioux Lookout,30272,NULL,NULL,POINT (-91.915197 50.098149)
88,Mechanic St & Broadway St,Paris,51566,NULL,NULL,POINT (-80.384284 43.19193)
89,Mcconnell & Main St,Mattawa,7095,7500,NULL,POINT (-78.700615 46.316931)
90,Ritson & Adelaide,Oshawa,250038,7500,69750,POINT (-78.865965 43.898715)
91,Summer Hayes & Duncan Ave,Kirkland Lake,19637,7500,7000,POINT (-80.036184 48.152289)
92,Fourth Ave & Third St,Englehart,70992,NULL,NULL,POINT (-79.874126 47.825658)
93,Thompson & Garrison Rd,Fort Erie,104780,29250,19250,POINT (-78.94136 42.907259)
94,Hwy 41 & Hwy 60,Eganville,NULL,6750,NULL,POINT (-77.105489 45.543871)
95,Franklin & Dundas (South Cambridge Ctr),Cambridge,182355,35625,83000,POINT (-80.286644 43.35709)
96,Dundas St & St. George St,Deseronto,21300,15000,750,POINT (-77.050258 44.194914)
97,Alkenbrack & Centre St N,Napanee,159885,21000,9000,POINT (-76.961305 44.256711)
98,Main St S & Albert St,Alexandria,132440,27000,7000,POINT (-74.628159 45.300252)
99,Notre Dame & Ste Marie,Embrun,65274,12000,3000,POINT (-75.302438 45.268598)
101,Christie & Main St,Grimsby,138939,41175,28900,POINT (-79.561885 43.192488)
102,Edward St & Talisman Dr,Gravenhurst,107453,87750,7950,POINT (-79.370012 44.908482)
103,Hwy 6 & Barber St,Espanola,82076,NULL,15000,POINT (-81.771534 46.264366)
104,Hwy 17b & Huron St,Thessalon,55490,NULL,2250,POINT (-83.556865 46.255875)
105,Hwy 41 & Country Rd 4,Tamworth,NULL,7500,14250,POINT (-76.994411 44.487858)
106,Hwy 11b & William St,Huntsville,184512,59325,58100,POINT (-79.20305 45.335318)
107,Hwy 89 & 23,Palmerston,334424,13500,8750,POINT (-80.857548 43.832961)
108,Woodward Ave & Murray St,Blind River,16082,NULL,NULL,POINT (-82.953457 46.186663)
109,Sandwich & Pickering,Amherstburg,45408,15000,20250,POINT (-83.107217 42.093849)
110,Mcnaughton & Hwy 40,Wallaceburg,33583,NULL,NULL,POINT (-82.386594 42.588052)
111,Church & Bedford,Westport,17974,6750,3750,POINT (-76.396127 44.679125)
112,Brunetville Rd & Ash St,Kapuskasing,37500,NULL,NULL,POINT (-82.417588 49.419496)
113,Hwy 60 & 62,Barry's Bay,62210,NULL,NULL,POINT (-77.680097 45.487988)
115,King S & William (Waterloo Town Sq),Waterloo,660676,114225,188250,POINT (-80.521753 43.462025)
116,Church & Arthur St,Elmira,130795,21000,15750,POINT (-80.559869 43.599978)
117,Lorne St & Birch Rd,Chapleau,10406,14250,NULL,POINT (-83.400869 47.842639)
118,Hanna & Dennie,Capreol,112625,NULL,17500,POINT (-80.921894 46.706205)
119,Elgin & Wellington St,Merrickville,56551,NULL,1500,POINT (-75.834823 44.915425)
120,West Dock,Pelee Island,42600,21750,NULL,POINT (-82.688709 41.762038)
122,8th St & George St,Hearst,15265,NULL,NULL,POINT (-83.663013 49.689058)
123,Molan St & Hwy 34,Lancaster,156572,NULL,NULL,POINT (-74.498738 45.141261)
124,Queen & King,Niagara-On-The-Lake,195661,34000,5250,POINT (-79.071642 43.254982)
125,Richelieu & Poupart,Rockland,39732,8625,15750,POINT (-75.30561 45.533946)
126,Hwy 2 & Queen St,Tilbury,8514,6750,6750,POINT (-82.432135 42.257722)
127,Hwy 31 & 2,Morrisburg,39732,17250,NULL,POINT (-75.183728 44.900358)
129,3 St & Main St,Geraldton,30272,NULL,6750,POINT (-86.948768 49.725892)
130,Wellington St & Muskoka Rd,Bracebridge,127749,51750,72750,POINT (-79.326824 45.044681)
131,County Rd Hwy 19 & 21,Ridgetown,46354,NULL,15750,POINT (-81.887476 42.438766)
132,Mcneely Ave & Trans - Canada Hwy,Carleton Place,162824,900,60000,POINT (-76.118611 45.132482)
133,Petrolia Line & Hwy 21,Petrolia,21758,NULL,NULL,POINT (-82.134233 42.881308)
135,Hwy 62 & 7,Madoc,NULL,NULL,11250,POINT (-77.47839 44.510093)
136,Hwy 35 & South Water St,Minden,10406,NULL,NULL,POINT (-78.723347 44.926638)
137,Hwy 105 & Discovery Rd,Red Lake,81603,NULL,NULL,POINT (-93.822793 51.018042)
139,Dalton & Black River Rd,Sutton,360447,7500,65500,POINT (-79.366672 44.312199)
140,Montreal Rd & Vanier Parkway,Ottawa-Vanier,97266,NULL,33500,POINT (-75.661987 45.435778)
141,King St & Walker Rd,Harrow,35948,38250,14000,POINT (-82.920659 42.035346)
142,Hwy 45 & Front St,Hastings,145056,30000,15750,POINT (-77.957588 44.308911)
143,Dundurn & Charlton,Hamilton,336303,81750,114500,POINT (-79.891037 43.254536)
144,O'brien & Wrangler Rd,Renfrew,99339,19500,32200,POINT (-76.65705 45.477587)
145,Holland St W & Summerlyn Trail,Bradford,134826,24375,163100,POINT (-79.591385 44.107696)
146,Grosvenor & High St,Southampton,2720,NULL,NULL,POINT (-81.372772 44.496831)
147,Third St & Newton Ave,Nipigon,19170,2250,NULL,POINT (-88.261929 49.012543)
148,N Service Rd & Dorval (Town Ctr W),Oakville,347376,35625,111950,POINT (-79.70455 43.445936)
149,Bloor & Royal York (Kingsway),Toronto-Etobicoke,793818,602250,217250,POINT (-79.50807 43.648296)
150,Qew & Fifty Rd,Hamilton-Winona,342955,33750,122550,POINT (-79.641338 43.217179)
151,Ontario & Peninsula Rd,Marathon,31227,NULL,10500,POINT (-86.380794 48.718531)
152,Wentworth & Cedar (Lake Vista Plaza),Oshawa,56061,NULL,9750,POINT (-78.850215 43.869052)
153,Erie S & Seacliff Dr,Leamington,65048,17625,22500,POINT (-82.598097 42.033465)
154,Midland & Princess,Kingston,429948,105000,87800,POINT (-76.574494 44.262723)
155,Cumberland & Water St,Thunder Bay,215249,3500,31500,POINT (-89.216634 48.437819)
156,Guelph & Mountainview,Georgetown,272284,55500,74450,POINT (-79.901206 43.649767)
157,Meredith & Dawson St,Gore Bay,240371,NULL,NULL,POINT (-82.464941 45.918282)
158,Hwy 6 & Manitowaning Rd,Little Current,33119,NULL,22500,POINT (-81.925637 45.979276)
159,Hwy 124 & Ottawa St,South River,NULL,7500,NULL,POINT (-79.376723 45.837003)
160,Hwy 54 & 3,Cayuga,132216,15000,18000,POINT (-79.856325 42.950003)
161,Hwy 21 & Lindsley St,Dresden,138760,NULL,NULL,POINT (-82.180528 42.592058)
162,Hwy 11 & Burton Rd,Matheson,NULL,NULL,9000,POINT (-80.462573 48.532316)
163,Danforth & Victoria Park,Toronto-Scarborough,158409,42000,36750,POINT (-79.285849 43.691089)
164,Eglinton & Laird,Toronto-Central,622044,401500,387600,POINT (-79.360024 43.709687)
165,Mohawk & Upper Wentworth,Hamilton,57477,16700,22500,POINT (-79.861547 43.221017)
166,Arthur & Talbot St,Essex,24599,7500,15750,POINT (-82.820211 42.173977)
167,Princess & Concession,Kingston,247203,7500,28250,POINT (-76.51047 44.240921)
168,Riddell & Centennial,Orangeville,345784,9100,52100,POINT (-80.119589 43.903819)
169,Thames & Charles St,Ingersoll,82858,1500,33000,POINT (-80.886057 43.03864)
170,Main & Burns,Atikokan,27686,NULL,NULL,POINT (-91.62055 48.757818)
171,Sandalwood & Kennedy (Heart Lake),Brampton,292752,13875,221600,POINT (-79.797662 43.726729)
172,Louisa & Main St,Thedford,12771,NULL,NULL,POINT (-81.853203 43.164107)
173,Hwy 17 N,Terrace Bay,99140,NULL,5250,POINT (-87.102816 48.782546)
174,Victoria St & Bridge St,Tweed,NULL,7500,750,POINT (-77.314144 44.479886)
175,Front & Mississaga St,Orillia,176438,NULL,6750,POINT (-79.413587 44.610571)
176,Hwy 7 & 14,Marmora,14663,NULL,NULL,POINT (-77.682784 44.483333)
177,Yonge & Sheppard,Toronto-North York,91603,15375,60900,POINT (-79.411102 43.760142)
178,Bridge St & Front St,Campbellford,29338,NULL,19250,POINT (-77.797802 44.30702)
179,Upper Middle & 8th Line,Oakville,213369,34125,57250,POINT (-79.694584 43.482326)
181,James & Hwy 3,Delhi,48984,7500,NULL,POINT (-80.493544 42.854761)
182,Lakeshore & Hwy 10 (Port Credit),Mississauga,63864,14625,65500,POINT (-79.579492 43.557743)
183,Main & Queen,Brampton,8520,8250,12000,POINT (-79.762335 43.685738)
184,Broadway Ave & Ganley St,Wawa,116358,NULL,NULL,POINT (-84.772098 47.995727)
186,Jane & Wilson (Sheridan Mall),Toronto-North York,53220,3000,78000,POINT (-79.510382 43.721155)
187,Bayfield & Hanmer,Barrie,463762,148050,177300,POINT (-79.713243 44.414496)
188,Brock St & Dundas,Whitby,177146,NULL,23250,POINT (-78.939877 43.876797)
189,Hwy 11 & Main Ave,Smooth Rock Falls,8987,NULL,1500,POINT (-81.625477 49.274994)
190,Main At Traffic Circle,Hamilton,115666,8250,20500,POINT (-79.801649 43.238358)
191,Salem & Taunton,Ajax,157982,40875,121500,POINT (-79.028273 43.897121)
192,Wellington & Grand,London,276420,6750,21750,POINT (-81.237535 42.971269)
193,Notre Dame St & 11th St,Belle River,25542,NULL,6000,POINT (-82.699343 42.293133)
194,Shaw & Kerr St,Elmvale,NULL,NULL,9750,POINT (-79.86482 44.585439)
195,Eglinton & Warden (Smart Centre),Toronto-Scarborough,273647,75375,123000,POINT (-79.292394 43.729482)
196,Hwy 81 & Hwy 21,Grand Bend,410931,9375,13750,POINT (-81.752523 43.310719)
197,Champlain Ave & Deep River,Deep River,82302,33000,58500,POINT (-77.488524 46.100441)
198,Kingston & Morningside,Toronto-Scarborough,118777,50625,71750,POINT (-79.184462 43.771474)
199,Broadway & Bridge,Tillsonburg,NULL,30000,32750,POINT (-80.729308 42.862865)
200,Clarke & Dundas (Argyle Mall),London,205834,30000,51000,POINT (-81.174458 43.003199)
201,Bayly & Harwood,Ajax,163905,NULL,50250,POINT (-79.022259 43.841982)
202,Lakeshore & Murphy Nw Corner,Sarnia,158986,12000,7000,POINT (-82.365671 43.015098)
203,Lakeshore & Elizabeth,Burlington,18456,NULL,13500,POINT (-79.795572 43.325975)
205,Hwy 10 & Toronto St,Markdale,22231,NULL,NULL,POINT (-80.652112 44.321688)
207,Dundas & Hwy 427 (Cloverdale),Toronto-Etobicoke,182781,98825,78500,POINT (-79.553694 43.631319)
208,Hwy 62 & Hwy 28,Bancroft,126065,37500,215750,POINT (-77.859606 45.082316)
209,Hwy 89 & Young,Alliston,348495,6750,162500,POINT (-79.881914 44.149272)
210,Hwy 9 & Hwy 21,Kincardine,100282,21000,30000,POINT (-81.614967 44.176108)
211,Hwy 416 & Hwy 43,Kemptville,207647,NULL,53250,POINT (-75.63065 45.029906)
212,Richmond & Kirkwood,Ottawa,144778,205875,68875,POINT (-75.748934 45.394105)
213,Main & Mary St,Dutton,65298,NULL,35500,POINT (-81.503109 42.663159)
214,Queensway & Park Lawn,Toronto-Etobicoke,278345,87375,91750,POINT (-79.481871 43.629866)
216,Carroll & Caradoc,Strathroy,87166,21000,NULL,POINT (-81.609315 42.94709)
217,Queens Quay & Cooper Street,Toronto-Central,647547,288100,341050,POINT (-79.372312 43.643023)
218,N Service & Dixie (Applewood Village),Mississauga,119761,15375,109100,POINT (-79.577524 43.590598)
220,Huron & Barber Walk,Manitouwadge,36210,NULL,NULL,POINT (-85.826963 49.127158)
221,Scugog Line 6 & Hwy 7a,Port Perry,313263,66750,35250,POINT (-78.962465 44.095062)
222,King St & Hwy 36,Bobcaygeon,85860,NULL,58500,POINT (-78.541359 44.535991)
223,Hwy 121 & 118,Haliburton,61490,53250,NULL,POINT (-78.507593 45.04641)
224,Bay & Mill,Beaverton,124872,NULL,NULL,POINT (-79.155429 44.429022)
225,Hillside & Ontario St,Elliot Lake,99142,4875,NULL,POINT (-82.647973 46.386346)
226,Yonge & Davis (Yonge - Davis Centre),Newmarket,321337,75625,94150,POINT (-79.479451 44.055685)
227,King St & Heritage Dr,Midland,148008,52850,72250,POINT (-79.871759 44.729134)
228,Ellesmere & Victoria Park (Parkway Mall),Toronto-Scarborough,263907,57750,134050,POINT (-79.314052 43.757795)
229,Parkside & St. David,Fergus,146576,29250,54750,POINT (-80.388228 43.710872)
230,Front & Tenth St,Keewatin,74169,NULL,NULL,POINT (-94.554131 49.761915)
231,Hwy 7 & 30,Havelock,182373,10875,NULL,POINT (-77.889729 44.433577)
232,Hwy 520 & Hwy 11,Burk's Falls,29326,NULL,NULL,POINT (-79.402068 45.60989)
233,Upper James & Fennell,Hamilton,394643,27000,103150,POINT (-79.876617 43.23525)
234,Eglinton & Kipling,Toronto-Etobicoke,50862,67875,90300,POINT (-79.557104 43.675378)
236,Errington & Hwy144 1/2 Mile,Chelmsford,NULL,6750,106250,POINT (-81.197967 46.579179)
237,Winchester & Baldwin,Brooklin,451349,3000,9750,POINT (-78.960354 43.953441)
238,Hwy 6 (Main St ) & Market,Port Dover,66953,19875,10500,POINT (-80.201348 42.787693)
